Bersa,Argentina
Dirección General de Fabricaciones Militares (DGFM)(es:Dirección General de Fabricaciones Militares),Argentina
Fábrica de Armas Halcón,Argentina
Hispano Argentina Fábrica de Automóviles,Argentina
Miguel Enrique Manzo Sal (MEMS),Argentina
ASC Pty Ltd (ASC),Australia
Austal,Australia
DMS Maritime,Australia
Forgacs Group,Australia
Metal Storm,Australia
Noosa Cat Australia Pty,Australia
Strategic Marine Pty Ltd,Australia
Achleitner Fahrzeugbau,Austria
Diamond Aircraft Industries,Austria
Glock Ges.m.b.H. (Glock),Austria
Hirtenberger Defence Systems (Hirtenberger),Austria
Steyr Mannlicher (Steyr),Austria
The Al Dhaen Group,Bahrain
Bangladesh Ordnance Factories,Bangladesh
Bangladesh Machine Tools Factory (BMTF),Bangladesh
Khulna Shipyard Limited (KSY),Bangladesh
Chittagong Dry Dock Limited,Bangladesh
Belspetsvneshtechnika (BSVT),Belarus
Browning Arms Company,Belgium
FN Herstal,Belgium
SABCA,Belgium
Avibras Indústria Aeroespacial (Avibras),Brazil
Companhia Brasileira de Cartuchos (CBC),Brazil
Embraer,Brazil
Empresa Gerencial de Projetos Navais (EMGEPRON),Brazil
Helibras,Brazil
IMBEL,Brazil
IBRAP,Brazil
Mectron,Brazil
Forjas Taurus (Taurus),Brazil
Arcus Co.,Bulgaria
Arsenal Corporation,Bulgaria
TEREM,Bulgaria
A. F. Theriault & Son Ltd.,Canada
Areios Defense,Canada
Armament Technology,Canada
Bombardier Inc. (Bombardier),Canada
Cascade Aerospace,Canada
Chantier Davie Canada Inc.,Canada
Colt Canada (formerly Diemaco),Canada
Hike Metal Products,Canada
Irving Shipbuilding Incorporated (ISI),Canada
MetalCraft Marine Incorporated (MCM),Canada
Reflex Advanced Marine Corporation (RAM),Canada
Para-Ordnance Manufacturing Inc,Canada
PGW Defence Technology Inc,Canada
Seaspan Marine Corporation,Canada
Streit Group,Canada
Viking Air,Canada
ASMAR,Chile
FAMAE,Chile
Aviation Industry Corporation of China (AVIC),China
China Aerospace Science and Industry Corporation (CASIC),China
China Aerospace Science and Technology Corporation (CASC),China
China Shipbuilding Industry Corporation (CSIC),China
China South Industries Group Corporation (CSGC),China
China State Shipbuilding Corporation (CSSC),China
China North Industries Corporation (Norinco),China
Poly Technologies,China
Shaanxi Baoji Special Vehicles Manufacturing Company,China
COTECMAR,Colombia
Indumil,Colombia
Agencija Alan,Croatia
Đuro Đaković Holding,Croatia
HS Produkt,Croatia
Montmontaza Greben,Croatia
Aero Vodochody,Czech Republic
Česká Zbrojovka Strakonice,Czech Republic
Česká Zbrojovka Uherský Brod,Czech Republic
Excalibur Group a.s.,Czech Republic
MPI Group,Czech Republic
Sellier & Bellot,Czech Republic
Dansk Industri Syndikat (DISA),Denmark
Faaborg Shipyard(da:Faaborg Værft A/S),Denmark
Arab Organization for Industrialization,Egypt
Kader Factory for Developed Industries,Egypt
National Organization of Military Industry,Egypt
National Service Products Organization,Egypt
Airbus Group,Europe
Patria,Finland
SAKO,Finland
UKI Workboat Ltd,Finland
Valmet,Finland
Alumarine Shipyard (ALUMARINE),France
Carat Security Group,France
